,name,abbreviation,mascot,wins,losses,conference_name
89,Florida International,FIU,Golden Panthers,11.0,22.0,Conference USA
90,Florida State,FSU,Seminoles,17.0,16.0,Atlantic Coast Conference
91,Fordham,FOR,Rams,13.0,20.0,Atlantic 10 Conference
92,Fresno State,FRSNO,Bulldogs,12.0,21.0,Mountain West Conference
93,Furman,FUR,Paladins,17.0,16.0,Southern Conference
94,Gardner Webb,WEBB,Bulldogs,17.0,16.0,Big South Conference
95,George Mason,GMU,Patriots,20.0,12.0,Atlantic 10 Conference
96,George Washington,GW,Colonials,16.0,16.0,Atlantic 10 Conference
97,Georgetown,GTWN,Hoyas,9.0,23.0,Big East Conference
98,Georgia,UGA,Bulldogs,20.0,17.0,Southeastern Conference
99,Georgia Southern,GASO,Eagles,9.0,24.0,Sun Belt Conference
100,Georgia State,GAST,Panthers,14.0,17.0,Sun Belt Conference
101,Georgia Tech,GT,Yellow Jackets,14.0,18.0,Atlantic Coast Conference
102,Gonzaga,GONZ,Bulldogs,27.0,8.0,West Coast Conference
103,Grambling State,GRAM,Tigers,21.0,15.0,Southwestern Athletic Conference
104,Grand Canyon,GCU,Lopes,30.0,5.0,Western Athletic Conference
105,Green Bay,GB,Phoenix,18.0,14.0,Horizon League
106,Hampton,HAMP,Pirates,9.0,24.0,Coastal Athletic Association
107,Hartford,HART,Hawks,5.0,23.0,Division I Independents
108,Harvard,HARV,Crimson,14.0,13.0,Ivy League
109,Hawai'i,HAW,Warriors,20.0,14.0,Big West Conference
110,High Point,HPU,Panthers,27.0,9.0,Big South Conference
111,Hofstra,HOF,Pride,20.0,13.0,Coastal Athletic Association
112,Holy Cross,HC,Crusaders,10.0,23.0,Patriot League
113,Houston,HOU,Cougars,32.0,5.0,Big 12 Conference
114,Houston Christian,HCU,Huskies,6.0,23.0,Southland Conference
115,Howard,HOW,Bison,18.0,17.0,Mid-Eastern Athletic Conference
116,Idaho,IDHO,Vandals,11.0,21.0,Big Sky Conference
117,Idaho State,IDST,Bengals,14.0,20.0,Big Sky Conference
118,Illinois,ILL,Fighting Illini,29.0,9.0,Big Ten Conference
119,Illinois State,ILST,Redbirds,15.0,17.0,Missouri Valley Conference
120,Incarnate Word,IW,Cardinals,8.0,23.0,Southland Conference
121,Indiana,IND,Hoosiers,19.0,14.0,Big Ten Conference
122,Indiana State,INST,Sycamores,32.0,7.0,Missouri Valley Conference
123,Iona,IONA,Gaels,16.0,17.0,Metro Atlantic Athletic Conference
124,Iowa,IOWA,Hawkeyes,19.0,15.0,Big Ten Conference
125,Iowa State,ISU,Cyclones,29.0,8.0,Big 12 Conference
126,IPFW,IPFW,Mastadons,23.0,13.0,Horizon League
127,IUPUI,IUPUI,Jaguars,6.0,26.0,Horizon League
128,Jackson State,JKST,Tigers,15.0,17.0,Southwestern Athletic Conference
129,Jacksonville,JAC,Dolphins,16.0,17.0,ASUN Conference
130,Jacksonville State,JVST,Gamecocks,14.0,18.0,Conference USA
131,James Madison,JMU,Dukes,32.0,4.0,Sun Belt Conference
132,Kansas,KU,Jayhawks,23.0,11.0,Big 12 Conference
133,Kansas State,KSU,Wildcats,19.0,15.0,Big 12 Conference
134,Kennesaw State,KENN,Owls,15.0,16.0,Conference USA
135,Kent State,KENT,Golden Flashes,17.0,17.0,Mid-American Conference
136,Kentucky,UK,Wildcats,23.0,10.0,Southeastern Conference
137,La Salle,LAS,Explorers,16.0,17.0,Atlantic 10 Conference
138,Lafayette,LAF,Leopards,11.0,21.0,Patriot League
139,Lamar,LAM,Cardinals,19.0,14.0,Southland Conference
140,Lehigh,LEH,Mountain Hawks,14.0,18.0,Patriot League
141,Liberty,LIB,Flames,18.0,14.0,Conference USA
142,Lipscomb,LIP,Bisons,20.0,12.0,ASUN Conference
143,Little Rock,UALR,Trojans,21.0,13.0,Ohio Valley Conference
144,Long Beach State,LBSU,49ers,21.0,15.0,Big West Conference
145,Long Island University,LIU,Sharks,7.0,22.0,Northeast Conference
146,Longwood,LONG,Lancers,21.0,14.0,Big South Conference
147,Louisiana,ULL,Ragin' Cajuns,19.0,14.0,Sun Belt Conference
148,Louisiana Tech,LT,Bulldogs,22.0,10.0,Conference USA
149,Louisville,LOU,Cardinals,8.0,24.0,Atlantic Coast Conference
150,Loyola Chicago,LCHI,Ramblers,23.0,10.0,Atlantic 10 Conference
151,Loyola Maryland,L-MD,Greyhounds,7.0,25.0,Patriot League
152,Loyola Marymount,LMU,Lions,12.0,19.0,West Coast Conference
153,LSU,LSU,Tigers,17.0,16.0,Southeastern Conference
154,Maine,MAINE,Black Bears,15.0,17.0,America East Conference
155,Manhattan,MAN,Jaspers,7.0,23.0,Metro Atlantic Athletic Conference
156,Marist,MRST,Red Foxes,18.0,13.0,Metro Atlantic Athletic Conference
157,Marquette,MARQ,Golden Eagles,27.0,10.0,Big East Conference
158,Marshall,MRSH,Thundering Herd,13.0,20.0,Sun Belt Conference
159,Maryland,MARY,Terrapins,16.0,17.0,Big Ten Conference
160,Massachusetts,UMASS,Minutemen,20.0,11.0,Atlantic 10 Conference
161,McNeese State,MCNS,Cowboys,30.0,4.0,Southland Conference
162,MD Eastern Shore,UMES,Hawks,9.0,20.0,Mid-Eastern Athletic Conference
163,Memphis,MEM,Tigers,22.0,10.0,American Athletic Conference
164,Mercer,MER,Bears,16.0,17.0,Southern Conference
165,Mercyhurst,MERC,Lakers,5.0,5.0,Northeast Conference
166,Merrimack,MER,Warriors,21.0,12.0,Metro Atlantic Athletic Conference
167,Miami (FL),MIAMI,Hurricanes,15.0,17.0,Atlantic Coast Conference
168,Miami (OH),M-OH,Redhawks,15.0,17.0,Mid-American Conference
169,Michigan,MICH,Wolverines,8.0,24.0,Big Ten Conference
170,Michigan State,MSU,Spartans,20.0,15.0,Big Ten Conference
171,Middle Tennessee,MTSU,Blue Raiders,14.0,19.0,Conference USA
172,Milwaukee,MILW,Panthers,20.0,15.0,Horizon League
173,Minnesota,MINN,Golden Gophers,19.0,15.0,Big Ten Conference
174,Mississippi State,MSST,Bulldogs,21.0,14.0,Southeastern Conference
175,Mississippi Valley State,MVSU,Delta Devils,1.0,30.0,Southwestern Athletic Conference
176,Missouri,MIZZ,Tigers,8.0,24.0,Southeastern Conference
177,Missouri State,MOST,Bears,17.0,16.0,Missouri Valley Conference
178,Monmouth,MONM,Hawks,18.0,15.0,Coastal Athletic Association
179,Montana,MONT,Grizzlies,24.0,12.0,Big Sky Conference
180,Montana State,MTST,Bobcats,17.0,18.0,Big Sky Conference
181,Morehead State,MORE,Eagles,26.0,9.0,Ohio Valley Conference
182,Morgan State,MORG,Bears,11.0,20.0,Mid-Eastern Athletic Conference
183,Mt. St. Mary's,MSM,Mountaineers,13.0,19.0,Metro Atlantic Athletic Conference
184,Murray State,MURR,Racers,12.0,20.0,Missouri Valley Conference
185,Navy,NAVY,Midshipmen,13.0,18.0,Patriot League
186,NC State,NCSU,Wolfpack,26.0,15.0,Atlantic Coast Conference
187,Nebraska,NEB,Cornhuskers,23.0,11.0,Big Ten Conference
188,Nebraska Omaha,OMA,Mavericks,15.0,18.0,Summit League
189,Nevada,NEV,Wolf Pack,26.0,8.0,Mountain West Conference
190,New Hampshire,UNH,Wildcats,16.0,15.0,America East Conference
191,New Mexico,UNM,Lobos,26.0,10.0,Mountain West Conference
192,New Mexico State,NMST,Aggies,13.0,19.0,Conference USA
193,New Orleans,NO,Privateers,10.0,23.0,Southland Conference
194,Niagara,NIAG,Purple Eagles,16.0,16.0,Metro Atlantic Athletic Conference
195,Nicholls State,NICH,Colonels,20.0,14.0,Southland Conference
196,NJIT,NJIT,Highlanders,7.0,21.0,America East Conference
197,Norfolk State,NORF,Spartans,24.0,11.0,Mid-Eastern Athletic Conference
198,North Alabama,UNA,Lions,15.0,17.0,ASUN Conference
199,North Carolina,NC,Tar Heels,29.0,8.0,Atlantic Coast Conference
200,North Carolina A&T,NCAT,Aggies,7.0,25.0,Coastal Athletic Association
201,North Carolina Central,NCCU,Eagles,18.0,13.0,Mid-Eastern Athletic Conference
